05/21/19 19:14:13:010 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | Client request processing completed
05/21/19 19:14:13:010 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | *********** Adobe GCClient Launch Ended ************
05/21/19 20:08:44:456 | [INFO] |  |  |  | AGMService |  |  | 168682 | Handling SIGTERM, stopping AGMService 

05/22/19 00:39:00:911 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 232380 | AdobeGCInvokerUtility : inside getLatestGCApplication
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 232380 | ***********AdobeGC Updater library invoked = 6.3.0.73 ************
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 232380 | Perform WF started
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 232380 | Perform WF completed
05/22/19 00:39:00:912 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 232380 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
05/22/19 00:39:00:912 | [DEBUG] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 232559 | Trying to acquire the semaphore
05/22/19 00:39:00:912 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 232559 | Semaphore acquired
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 232559 | Threaded CFU Started
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 232559 | Get client install path Started
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 232559 | Get client install path Ended
05/22/19 00:39:00:912 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 232559 | Client sanitization started
05/22/19 00:39:00:912 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 232559 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/22/19 00:39:05:983 | [INFO] |  |  |  | AGMService |  |  | 232379 | Initializing Directory Watcher.
